Year,Enrolments,Citizenship,State,Institution
2021,1796,Domestic,Australian Capital Territory,Non-University Higher Education Providers
2021,122,International,Australian Capital Territory,Non-University Higher Education Providers
2021,16402,Domestic,Australian Capital Territory,The Australian National University
2021,8274,International,Australian Capital Territory,The Australian National University
2021,12778,Domestic,Australian Capital Territory,University of Canberra
2021,3578,International,Australian Capital Territory,University of Canberra
2021,21231,Domestic,Grand Total,The University of Western Australia
2021,440661,International,Grand Total,The University of Western Australia
2021,29210,Domestic,Multi-State,Australian Catholic University
2021,3527,International,Multi-State,Australian Catholic University
2021,2817,Domestic,Multi-State,Non-University Higher Education Providers
2021,135,International,Multi-State,Non-University Higher Education Providers
2021,1146,Domestic,New South Wales,Avondale University
2021,118,International,New South Wales,Avondale University
2021,35073,Domestic,New South Wales,Charles Sturt University
2021,5331,International,New South Wales,Charles Sturt University
2021,35835,Domestic,New South Wales,Macquarie University
2021,9072,International,New South Wales,Macquarie University
2021,38274,Domestic,New South Wales,Non-University Higher Education Providers
2021,25648,International,New South Wales,Non-University Higher Education Providers
2021,15410,Domestic,New South Wales,Southern Cross University
2021,3338,International,New South Wales,Southern Cross University
2021,22518,Domestic,New South Wales,The University of New England
2021,1199,International,New South Wales,The University of New England
2021,32084,Domestic,New South Wales,The University of Newcastle
2021,4693,International,New South Wales,The University of Newcastle
2021,42250,Domestic,New South Wales,The University of Sydney
2021,35225,International,New South Wales,The University of Sydney
2021,42649,Domestic,New South Wales,University of New South Wales
2021,22951,International,New South Wales,University of New South Wales
2021,31668,Domestic,New South Wales,University of Technology Sydney
2021,11540,International,New South Wales,University of Technology Sydney
2021,20015,Domestic,New South Wales,University of Wollongong
2021,12010,International,New South Wales,University of Wollongong
2021,41526,Domestic,New South Wales,Western Sydney University
2021,7120,International,New South Wales,Western Sydney University
2021,15,Domestic,Northern Territory,Charles Darwin University
2021,2029,International,Northern Territory,Charles Darwin University
2021,208285,Domestic,Queensland,Bond University
2021,1718,International,Queensland,Bond University
2021,3453,Domestic,Queensland,CQUniversity
2021,2888,International,Queensland,CQUniversity
2021,12625,Domestic,Queensland,Charles Darwin University
2021,50018,International,Queensland,Charles Darwin University
2021,19816,Domestic,Queensland,Griffith University
2021,7201,International,Queensland,Griffith University
2021,42102,Domestic,Queensland,James Cook University
2021,5295,International,Queensland,James Cook University
2021,14455,Domestic,Queensland,Non-University Higher Education Providers
2021,1124,International,Queensland,Non-University Higher Education Providers
2021,7808,Domestic,Queensland,Queensland University of Technology
2021,7165,International,Queensland,Queensland University of Technology
2021,46109,Domestic,Queensland,The University of Queensland
2021,20988,International,Queensland,The University of Queensland
2021,35163,Domestic,Queensland,University of Southern Queensland
2021,1959,International,Queensland,University of Southern Queensland
2021,22761,Domestic,Queensland,University of the Sunshine Coast
2021,1680,International,Queensland,University of the Sunshine Coast
2021,90842,Domestic,South Australia,Carnegie Mellon University Australia
2021,194,International,South Australia,Carnegie Mellon University Australia
2021,8,Domestic,South Australia,Flinders University
2021,4525,International,South Australia,Flinders University
2021,21022,Domestic,South Australia,Private Universities and Non-University Higher Education Providers
2021,2444,International,South Australia,Private Universities and Non-University Higher Education Providers
2021,4807,Domestic,South Australia,The University of Adelaide
2021,9078,International,South Australia,The University of Adelaide
2021,21653,Domestic,South Australia,Torrens University Australia
2021,12403,International,South Australia,Torrens University Australia
2021,11053,Domestic,South Australia,University of South Australia
2021,5483,International,South Australia,University of South Australia
2021,16618,Domestic,South Australia,University of the Sunshine Coast
2021,34127,International,South Australia,University of the Sunshine Coast
2021,32299,Domestic,Tasmania,University of South Australia
2021,6091,International,Tasmania,University of South Australia
2021,30258,Domestic,Tasmania,University of Tasmania
2021,6091,International,Tasmania,University of Tasmania
2021,286263,Domestic,Victoria,Deakin University
2021,11042,International,Victoria,Deakin University
2021,51844,Domestic,Victoria,Federation University Australia
2021,5432,International,Victoria,Federation University Australia
2021,8349,Domestic,Victoria,La Trobe University
2021,6661,International,Victoria,La Trobe University
2021,28561,Domestic,Victoria,Monash University
2021,38172,International,Victoria,Monash University
2021,48926,Domestic,Victoria,Non-University Higher Education Providers
2021,18704,International,Victoria,Non-University Higher Education Providers
2021,9015,Domestic,Victoria,RMIT University
2021,33278,International,Victoria,RMIT University
2021,42841,Domestic,Victoria,Swinburne University of Technology
2021,9504,International,Victoria,Swinburne University of Technology
2021,32336,Domestic,Victoria,The University of Melbourne
2021,26494,International,Victoria,The University of Melbourne
2021,44598,Domestic,Victoria,University of Divinity
2021,124,International,Victoria,University of Divinity
2021,30258,Domestic,Victoria,University of Tasmania
2021,159186,International,Victoria,University of Tasmania
2021,1279,Domestic,Victoria,Victoria University
2021,9775,International,Victoria,Victoria University
2021,112173,Domestic,Western Australia,Curtin University
2021,12096,International,Western Australia,Curtin University
2021,38503,Domestic,Western Australia,Edith Cowan University
2021,5626,International,Western Australia,Edith Cowan University
2021,24333,Domestic,Western Australia,Murdoch University
2021,8622,International,Western Australia,Murdoch University
2021,14695,Domestic,Western Australia,Non-University Higher Education Providers
2021,3360,International,Western Australia,Non-University Higher Education Providers
2021,1259,Domestic,Western Australia,The University of Notre Dame Australia
2021,175,International,Western Australia,The University of Notre Dame Australia
2021,12152,Domestic,Western Australia,The University of Western Australia
2021,5450,International,Western Australia,The University of Western Australia
2021,18514,Domestic,Western Australia,Victoria University
2021,35329,International,Western Australia,Victoria University
2022,1484,Domestic,Australian Capital Territory,Non-University Higher Education Providers
2022,97,International,Australian Capital Territory,Non-University Higher Education Providers
2022,15604,Domestic,Australian Capital Territory,The Australian National University
2022,8638,International,Australian Capital Territory,The Australian National University
2022,12909,Domestic,Australian Capital Territory,University of Canberra
2022,3940,International,Australian Capital Territory,University of Canberra
2022,20947,Domestic,Grand Total,The University of Western Australia
2022,448728,International,Grand Total,The University of Western Australia
2022,28604,Domestic,Multi-State,Australian Catholic University
2022,3896,International,Multi-State,Australian Catholic University
2022,2660,Domestic,Multi-State,Non-University Higher Education Providers
2022,127,International,Multi-State,Non-University Higher Education Providers
2022,1012,Domestic,New South Wales,Avondale University
2022,99,International,New South Wales,Avondale University
2022,32928,Domestic,New South Wales,Charles Sturt University
2022,3704,International,New South Wales,Charles Sturt University
2022,35466,Domestic,New South Wales,Macquarie University
2022,8423,International,New South Wales,Macquarie University
2022,35773,Domestic,New South Wales,Non-University Higher Education Providers
2022,30098,International,New South Wales,Non-University Higher Education Providers
2022,13916,Domestic,New South Wales,Southern Cross University
2022,3293,International,New South Wales,Southern Cross University
2022,20324,Domestic,New South Wales,The University of New England
2022,1008,International,New South Wales,The University of New England
2022,30202,Domestic,New South Wales,The University of Newcastle
2022,5001,International,New South Wales,The University of Newcastle
2022,40380,Domestic,New South Wales,The University of Sydney
2022,36593,International,New South Wales,The University of Sydney
2022,42750,Domestic,New South Wales,University of New South Wales
2022,23714,International,New South Wales,University of New South Wales
2022,33296,Domestic,New South Wales,University of Technology Sydney
2022,11423,International,New South Wales,University of Technology Sydney
2022,19081,Domestic,New South Wales,University of Wollongong
2022,12039,International,New South Wales,University of Wollongong
2022,38525,Domestic,New South Wales,Western Sydney University
2022,8355,International,New South Wales,Western Sydney University
2022,18,Domestic,Northern Territory,Charles Darwin University
2022,2008,International,Northern Territory,Charles Darwin University
2022,194374,Domestic,Queensland,Bond University
2022,1992,International,Queensland,Bond University
2022,3596,Domestic,Queensland,CQUniversity
2022,4058,International,Queensland,CQUniversity
2022,10948,Domestic,Queensland,Charles Darwin University
2022,51823,International,Queensland,Charles Darwin University
2022,17866,Domestic,Queensland,Griffith University
2022,7416,International,Queensland,Griffith University
2022,38631,Domestic,Queensland,James Cook University
2022,6050,International,Queensland,James Cook University
2022,13269,Domestic,Queensland,Non-University Higher Education Providers
2022,1072,International,Queensland,Non-University Higher Education Providers
2022,7229,Domestic,Queensland,Queensland University of Technology
2022,6973,International,Queensland,Queensland University of Technology
2022,43111,Domestic,Queensland,The University of Queensland
2022,20751,International,Queensland,The University of Queensland
2022,34312,Domestic,Queensland,University of Southern Queensland
2022,1743,International,Queensland,University of Southern Queensland
2022,20649,Domestic,Queensland,University of the Sunshine Coast
2022,1768,International,Queensland,University of the Sunshine Coast
2022,89424,Domestic,South Australia,Carnegie Mellon University Australia
2022,116,International,South Australia,Carnegie Mellon University Australia
2022,13,Domestic,South Australia,Flinders University
2022,5376,International,South Australia,Flinders University
2022,20258,Domestic,South Australia,Private Universities and Non-University Higher Education Providers
2022,2531,International,South Australia,Private Universities and Non-University Higher Education Providers
2022,4584,Domestic,South Australia,The University of Adelaide
2022,8448,International,South Australia,The University of Adelaide
2022,21604,Domestic,South Australia,Torrens University Australia
2022,12154,International,South Australia,Torrens University Australia
2022,12544,Domestic,South Australia,University of South Australia
2022,5682,International,South Australia,University of South Australia
2022,15711,Domestic,South Australia,University of the Sunshine Coast
2022,34307,International,South Australia,University of the Sunshine Coast
2022,30421,Domestic,Tasmania,University of South Australia
2022,5412,International,Tasmania,University of South Australia
2022,28124,Domestic,Tasmania,University of Tasmania
2022,5412,International,Tasmania,University of Tasmania
2022,268198,Domestic,Victoria,Deakin University
2022,11108,International,Victoria,Deakin University
2022,46458,Domestic,Victoria,Federation University Australia
2022,5557,International,Victoria,Federation University Australia
2022,7774,Domestic,Victoria,La Trobe University
2022,7137,International,Victoria,La Trobe University
2022,27236,Domestic,Victoria,Monash University
2022,35057,International,Victoria,Monash University
2022,47002,Domestic,Victoria,Non-University Higher Education Providers
2022,16536,International,Victoria,Non-University Higher Education Providers
2022,7077,Domestic,Victoria,RMIT University
2022,32857,International,Victoria,RMIT University
2022,39987,Domestic,Victoria,Swinburne University of Technology
2022,11400,International,Victoria,Swinburne University of Technology
2022,29783,Domestic,Victoria,The University of Melbourne
2022,26881,International,Victoria,The University of Melbourne
2022,43265,Domestic,Victoria,University of Divinity
2022,117,International,Victoria,University of Divinity
2022,28124,Domestic,Victoria,University of Tasmania
2022,158080,International,Victoria,University of Tasmania
2022,1270,Domestic,Victoria,Victoria University
2022,11430,International,Victoria,Victoria University
2022,106683,Domestic,Western Australia,Curtin University
2022,12463,International,Western Australia,Curtin University
2022,37615,Domestic,Western Australia,Edith Cowan University
2022,6073,International,Western Australia,Edith Cowan University
2022,22350,Domestic,Western Australia,Murdoch University
2022,8348,International,Western Australia,Murdoch University
2022,12920,Domestic,Western Australia,Non-University Higher Education Providers
2022,4008,International,Western Australia,Non-University Higher Education Providers
2022,1389,Domestic,Western Australia,The University of Notre Dame Australia
2022,342,International,Western Australia,The University of Notre Dame Australia
2022,11462,Domestic,Western Australia,The University of Western Australia
2022,5416,International,Western Australia,The University of Western Australia
2022,18346,Domestic,Western Australia,Victoria University
2022,36650,International,Western Australia,Victoria University
2023,1235,Domestic,Australian Capital Territory,Non-University Higher Education Providers
2023,42,International,Australian Capital Territory,Non-University Higher Education Providers
2023,14517,Domestic,Australian Capital Territory,The Australian National University
2023,9734,International,Australian Capital Territory,The Australian National University
2023,12746,Domestic,Australian Capital Territory,University of Canberra
2023,4401,International,Australian Capital Territory,University of Canberra
2023,20329,Domestic,Grand Total,The University of Western Australia
2023,524642,International,Grand Total,The University of Western Australia
2023,28163,Domestic,Multi-State,Australian Catholic University
2023,4118,International,Multi-State,Australian Catholic University
2023,2445,Domestic,Multi-State,Non-University Higher Education Providers
2023,111,International,Multi-State,Non-University Higher Education Providers
2023,963,Domestic,New South Wales,Avondale University
2023,75,International,New South Wales,Avondale University
2023,31383,Domestic,New South Wales,Charles Sturt University
2023,3397,International,New South Wales,Charles Sturt University
2023,34023,Domestic,New South Wales,Macquarie University
2023,10194,International,New South Wales,Macquarie University
2023,45781,Domestic,New South Wales,Non-University Higher Education Providers
2023,37831,International,New South Wales,Non-University Higher Education Providers
2023,13137,Domestic,New South Wales,Southern Cross University
2023,4108,International,New South Wales,Southern Cross University
2023,18712,Domestic,New South Wales,The University of New England
2023,1411,International,New South Wales,The University of New England
2023,28271,Domestic,New South Wales,The University of Newcastle
2023,5848,International,New South Wales,The University of Newcastle
2023,38560,Domestic,New South Wales,The University of Sydney
2023,37528,International,New South Wales,The University of Sydney
2023,42607,Domestic,New South Wales,University of New South Wales
2023,27735,International,New South Wales,University of New South Wales
2023,34852,Domestic,New South Wales,University of Technology Sydney
2023,12925,International,New South Wales,University of Technology Sydney
2023,18735,Domestic,New South Wales,University of Wollongong
2023,15346,International,New South Wales,University of Wollongong
2023,36253,Domestic,New South Wales,Western Sydney University
2023,10356,International,New South Wales,Western Sydney University
2023,28,Domestic,Northern Territory,Charles Darwin University
2023,3439,International,Northern Territory,Charles Darwin University
2023,186826,Domestic,Queensland,Bond University
2023,2219,International,Queensland,Bond University
2023,3498,Domestic,Queensland,CQUniversity
2023,5172,International,Queensland,CQUniversity
2023,9572,Domestic,Queensland,Charles Darwin University
2023,61223,International,Queensland,Charles Darwin University
2023,16737,Domestic,Queensland,Griffith University
2023,9255,International,Queensland,Griffith University
2023,36266,Domestic,Queensland,James Cook University
2023,7857,International,Queensland,James Cook University
2023,12503,Domestic,Queensland,Non-University Higher Education Providers
2023,1153,International,Queensland,Non-University Higher Education Providers
2023,6581,Domestic,Queensland,Queensland University of Technology
2023,9748,International,Queensland,Queensland University of Technology
2023,42379,Domestic,Queensland,The University of Queensland
2023,21531,International,Queensland,The University of Queensland
2023,33881,Domestic,Queensland,University of Southern Queensland
2023,2367,International,Queensland,University of Southern Queensland
2023,18915,Domestic,Queensland,University of the Sunshine Coast
2023,1921,International,Queensland,University of the Sunshine Coast
2023,86675,Domestic,South Australia,Carnegie Mellon University Australia
2023,13,International,South Australia,Carnegie Mellon University Australia
2023,6970,International,South Australia,Flinders University
2023,19479,Domestic,South Australia,Private Universities and Non-University Higher Education Providers
2023,3182,International,South Australia,Private Universities and Non-University Higher Education Providers
2023,4403,Domestic,South Australia,The University of Adelaide
2023,9026,International,South Australia,The University of Adelaide
2023,21148,Domestic,South Australia,Torrens University Australia
2023,11361,International,South Australia,Torrens University Australia
2023,13472,Domestic,South Australia,University of South Australia
2023,6407,International,South Australia,University of South Australia
2023,16066,Domestic,South Australia,University of the Sunshine Coast
2023,36959,International,South Australia,University of the Sunshine Coast
2023,28173,Domestic,Tasmania,University of South Australia
2023,5441,International,Tasmania,University of South Australia
2023,26072,Domestic,Tasmania,University of Tasmania
2023,5441,International,Tasmania,University of Tasmania
2023,262171,Domestic,Victoria,Deakin University
2023,14236,International,Victoria,Deakin University
2023,43355,Domestic,Victoria,Federation University Australia
2023,5422,International,Victoria,Federation University Australia
2023,7788,Domestic,Victoria,La Trobe University
2023,9733,International,Victoria,La Trobe University
2023,26441,Domestic,Victoria,Monash University
2023,35897,International,Victoria,Monash University
2023,48299,Domestic,Victoria,Non-University Higher Education Providers
2023,21514,International,Victoria,Non-University Higher Education Providers
2023,6756,Domestic,Victoria,RMIT University
2023,35646,International,Victoria,RMIT University
2023,37681,Domestic,Victoria,Swinburne University of Technology
2023,15370,International,Victoria,Swinburne University of Technology
2023,29957,Domestic,Victoria,The University of Melbourne
2023,30024,International,Victoria,The University of Melbourne
2023,42220,Domestic,Victoria,University of Divinity
2023,145,International,Victoria,University of Divinity
2023,26072,Domestic,Victoria,University of Tasmania
2023,182742,International,Victoria,University of Tasmania
2023,1137,Domestic,Victoria,Victoria University
2023,14755,International,Victoria,Victoria University
2023,102194,Domestic,Western Australia,Curtin University
2023,14766,International,Western Australia,Curtin University
2023,37371,Domestic,Western Australia,Edith Cowan University
2023,8452,International,Western Australia,Edith Cowan University
2023,21266,Domestic,Western Australia,Murdoch University
2023,12714,International,Western Australia,Murdoch University
2023,11391,Domestic,Western Australia,Non-University Higher Education Providers
2023,6413,International,Western Australia,Non-University Higher Education Providers
2023,1037,Domestic,Western Australia,The University of Notre Dame Australia
2023,581,International,Western Australia,The University of Notre Dame Australia
2023,10800,Domestic,Western Australia,The University of Western Australia
2023,6752,International,Western Australia,The University of Western Australia
2023,18537,Domestic,Western Australia,Victoria University
2023,49678,International,Western Australia,Victoria University
