Year,State,Institution,Enrolments,ModeOfAttendance,SpecialCourse,TypeOfAttendance
2020,Australian Capital Territory,Non-University Higher Education Providers,1906,(All),(All),(All)
2021,Australian Capital Territory,Non-University Higher Education Providers,1918,(All),(All),(All)
2022,Australian Capital Territory,Non-University Higher Education Providers,1581,(All),(All),(All)
2023,Australian Capital Territory,Non-University Higher Education Providers,1277,(All),(All),(All)
2020,Australian Capital Territory,The Australian National University,24336,(All),(All),(All)
2021,Australian Capital Territory,The Australian National University,24676,(All),(All),(All)
2022,Australian Capital Territory,The Australian National University,24242,(All),(All),(All)
2023,Australian Capital Territory,The Australian National University,24251,(All),(All),(All)
2020,Australian Capital Territory,University of Canberra,16323,(All),(All),(All)
2021,Australian Capital Territory,University of Canberra,16356,(All),(All),(All)
2022,Australian Capital Territory,University of Canberra,16849,(All),(All),(All)
2023,Australian Capital Territory,University of Canberra,17147,(All),(All),(All)
2020,Multi-State,Australian Catholic University,32346,(All),(All),(All)
2021,Multi-State,Australian Catholic University,32737,(All),(All),(All)
2022,Multi-State,Australian Catholic University,32500,(All),(All),(All)
2023,Multi-State,Australian Catholic University,32281,(All),(All),(All)
2020,Multi-State,Non-University Higher Education Providers,3166,(All),(All),(All)
2021,Multi-State,Non-University Higher Education Providers,2952,(All),(All),(All)
2022,Multi-State,Non-University Higher Education Providers,2787,(All),(All),(All)
2023,Multi-State,Non-University Higher Education Providers,2556,(All),(All),(All)
2020,New South Wales,Avondale University,1197,(All),(All),(All)
2021,New South Wales,Avondale University,1264,(All),(All),(All)
2022,New South Wales,Avondale University,1111,(All),(All),(All)
2023,New South Wales,Avondale University,1038,(All),(All),(All)
2020,New South Wales,Charles Sturt University,43287,(All),(All),(All)
2021,New South Wales,Charles Sturt University,40404,(All),(All),(All)
2022,New South Wales,Charles Sturt University,36632,(All),(All),(All)
2023,New South Wales,Charles Sturt University,34780,(All),(All),(All)
2020,New South Wales,Macquarie University,44800,(All),(All),(All)
2021,New South Wales,Macquarie University,44907,(All),(All),(All)
2022,New South Wales,Macquarie University,43889,(All),(All),(All)
2023,New South Wales,Macquarie University,44217,(All),(All),(All)
2020,New South Wales,Non-University Higher Education Providers,67029,(All),(All),(All)
2021,New South Wales,Non-University Higher Education Providers,63922,(All),(All),(All)
2022,New South Wales,Non-University Higher Education Providers,65871,(All),(All),(All)
2023,New South Wales,Non-University Higher Education Providers,83612,(All),(All),(All)
2020,New South Wales,Southern Cross University,19825,(All),(All),(All)
2021,New South Wales,Southern Cross University,18748,(All),(All),(All)
2022,New South Wales,Southern Cross University,17209,(All),(All),(All)
2023,New South Wales,Southern Cross University,17245,(All),(All),(All)
2020,New South Wales,The University of New England,24862,(All),(All),(All)
2021,New South Wales,The University of New England,23717,(All),(All),(All)
2022,New South Wales,The University of New England,21332,(All),(All),(All)
2023,New South Wales,The University of New England,20123,(All),(All),(All)
2020,New South Wales,The University of Newcastle,36929,(All),(All),(All)
2021,New South Wales,The University of Newcastle,36777,(All),(All),(All)
2022,New South Wales,The University of Newcastle,35203,(All),(All),(All)
2023,New South Wales,The University of Newcastle,34119,(All),(All),(All)
2020,New South Wales,The University of Sydney,72596,(All),(All),(All)
2021,New South Wales,The University of Sydney,77475,(All),(All),(All)
2022,New South Wales,The University of Sydney,76973,(All),(All),(All)
2023,New South Wales,The University of Sydney,76088,(All),(All),(All)
2020,New South Wales,University of New South Wales,63286,(All),(All),(All)
2021,New South Wales,University of New South Wales,65600,(All),(All),(All)
2022,New South Wales,University of New South Wales,66464,(All),(All),(All)
2023,New South Wales,University of New South Wales,70342,(All),(All),(All)
2020,New South Wales,University of Technology Sydney,46248,(All),(All),(All)
2021,New South Wales,University of Technology Sydney,43208,(All),(All),(All)
2022,New South Wales,University of Technology Sydney,44719,(All),(All),(All)
2023,New South Wales,University of Technology Sydney,47777,(All),(All),(All)
2020,New South Wales,University of Wollongong,33364,(All),(All),(All)
2021,New South Wales,University of Wollongong,32025,(All),(All),(All)
2022,New South Wales,University of Wollongong,31120,(All),(All),(All)
2023,New South Wales,University of Wollongong,34081,(All),(All),(All)
2020,New South Wales,Western Sydney University,49053,(All),(All),(All)
2021,New South Wales,Western Sydney University,48646,(All),(All),(All)
2022,New South Wales,Western Sydney University,46880,(All),(All),(All)
2023,New South Wales,Western Sydney University,46609,(All),(All),(All)
2020,Northern Territory,Batchelor Institute of Indigenous Tertiary Educati,26,(All),(All),(All)
2021,Northern Territory,Batchelor Institute of Indigenous Tertiary Educati,15,(All),(All),(All)
2022,Northern Territory,Batchelor Institute of Indigenous Tertiary Educati,18,(All),(All),(All)
2023,Northern Territory,Batchelor Institute of Indigenous Tertiary Educati,28,(All),(All),(All)
2020,Northern Territory,Charles Darwin University,13801,(All),(All),(All)
2021,Northern Territory,Charles Darwin University,14654,(All),(All),(All)
2022,Northern Territory,Charles Darwin University,12956,(All),(All),(All)
2023,Northern Territory,Charles Darwin University,13011,(All),(All),(All)
2020,Queensland,Bond University,5594,(All),(All),(All)
2021,Queensland,Bond University,5171,(All),(All),(All)
2022,Queensland,Bond University,5588,(All),(All),(All)
2023,Queensland,Bond University,5717,(All),(All),(All)
2020,Queensland,CQUniversity,25632,(All),(All),(All)
2021,Queensland,CQUniversity,22704,(All),(All),(All)
2022,Queensland,CQUniversity,21924,(All),(All),(All)
2023,Queensland,CQUniversity,21909,(All),(All),(All)
2020,Queensland,Griffith University,49819,(All),(All),(All)
2021,Queensland,Griffith University,49303,(All),(All),(All)
2022,Queensland,Griffith University,46047,(All),(All),(All)
2023,Queensland,Griffith University,45521,(All),(All),(All)
2020,Queensland,James Cook University,19796,(All),(All),(All)
2021,Queensland,James Cook University,19750,(All),(All),(All)
2022,Queensland,James Cook University,19319,(All),(All),(All)
2023,Queensland,James Cook University,20360,(All),(All),(All)
2020,Queensland,Non-University Higher Education Providers,8599,(All),(All),(All)
2021,Queensland,Non-University Higher Education Providers,8932,(All),(All),(All)
2022,Queensland,Non-University Higher Education Providers,8301,(All),(All),(All)
2023,Queensland,Non-University Higher Education Providers,7734,(All),(All),(All)
2020,Queensland,Queensland University of Technology,52717,(All),(All),(All)
2021,Queensland,Queensland University of Technology,53274,(All),(All),(All)
2022,Queensland,Queensland University of Technology,50084,(All),(All),(All)
2023,Queensland,Queensland University of Technology,52127,(All),(All),(All)
2020,Queensland,The University of Queensland,54989,(All),(All),(All)
2021,Queensland,The University of Queensland,56151,(All),(All),(All)
2022,Queensland,The University of Queensland,55063,(All),(All),(All)
2023,Queensland,The University of Queensland,55412,(All),(All),(All)
2020,Queensland,University of Southern Queensland,25568,(All),(All),(All)
2021,Queensland,University of Southern Queensland,24720,(All),(All),(All)
2022,Queensland,University of Southern Queensland,22392,(All),(All),(All)
2023,Queensland,University of Southern Queensland,21282,(All),(All),(All)
2020,Queensland,University of the Sunshine Coast,18165,(All),(All),(All)
2021,Queensland,University of the Sunshine Coast,18298,(All),(All),(All)
2022,Queensland,University of the Sunshine Coast,17479,(All),(All),(All)
2023,Queensland,University of the Sunshine Coast,17987,(All),(All),(All)
2020,South Australia,Carnegie Mellon University Australia,95,(All),(All),(All)
2021,South Australia,Carnegie Mellon University Australia,202,(All),(All),(All)
2022,South Australia,Carnegie Mellon University Australia,129,(All),(All),(All)
2023,South Australia,Carnegie Mellon University Australia,13,(All),(All),(All)
2020,South Australia,Flinders University,25944,(All),(All),(All)
2021,South Australia,Flinders University,25547,(All),(All),(All)
2022,South Australia,Flinders University,25634,(All),(All),(All)
2023,South Australia,Flinders University,26449,(All),(All),(All)
2020,South Australia,Private Universities and Non-University Higher Education Providers,8186,(All),(All),(All)
2021,South Australia,Private Universities and Non-University Higher Education Providers,7251,(All),(All),(All)
2022,South Australia,Private Universities and Non-University Higher Education Providers,7115,(All),(All),(All)
2023,South Australia,Private Universities and Non-University Higher Education Providers,7585,(All),(All),(All)
2020,South Australia,The University of Adelaide,29453,(All),(All),(All)
2021,South Australia,The University of Adelaide,30731,(All),(All),(All)
2022,South Australia,The University of Adelaide,30052,(All),(All),(All)
2023,South Australia,The University of Adelaide,30174,(All),(All),(All)
2020,South Australia,Torrens University Australia,23269,(All),(All),(All)
2021,South Australia,Torrens University Australia,23456,(All),(All),(All)
2022,South Australia,Torrens University Australia,24698,(All),(All),(All)
2023,South Australia,Torrens University Australia,24833,(All),(All),(All)
2020,South Australia,University of South Australia,37867,(All),(All),(All)
2021,South Australia,University of South Australia,37782,(All),(All),(All)
2022,South Australia,University of South Australia,36103,(All),(All),(All)
2023,South Australia,University of South Australia,34580,(All),(All),(All)
2020,Tasmania,University of Tasmania,41896,(All),(All),(All)
2021,Tasmania,University of Tasmania,36349,(All),(All),(All)
2022,Tasmania,University of Tasmania,33536,(All),(All),(All)
2023,Tasmania,University of Tasmania,31513,(All),(All),(All)
2020,Victoria,Deakin University,64206,(All),(All),(All)
2021,Victoria,Deakin University,62886,(All),(All),(All)
2022,Victoria,Deakin University,57566,(All),(All),(All)
2023,Victoria,Deakin University,57591,(All),(All),(All)
2020,Victoria,Federation University Australia,16793,(All),(All),(All)
2021,Victoria,Federation University Australia,13781,(All),(All),(All)
2022,Victoria,Federation University Australia,13331,(All),(All),(All)
2023,Victoria,Federation University Australia,13210,(All),(All),(All)
2020,Victoria,La Trobe University,37103,(All),(All),(All)
2021,Victoria,La Trobe University,35222,(All),(All),(All)
2022,Victoria,La Trobe University,34373,(All),(All),(All)
2023,Victoria,La Trobe University,36174,(All),(All),(All)
2020,Victoria,Monash University,86003,(All),(All),(All)
2021,Victoria,Monash University,87098,(All),(All),(All)
2022,Victoria,Monash University,82059,(All),(All),(All)
2023,Victoria,Monash University,84196,(All),(All),(All)
2020,Victoria,Non-University Higher Education Providers,32248,(All),(All),(All)
2021,Victoria,Non-University Higher Education Providers,27719,(All),(All),(All)
2022,Victoria,Non-University Higher Education Providers,23613,(All),(All),(All)
2023,Victoria,Non-University Higher Education Providers,28270,(All),(All),(All)
2020,Victoria,RMIT University,74604,(All),(All),(All)
2021,Victoria,RMIT University,76119,(All),(All),(All)
2022,Victoria,RMIT University,72844,(All),(All),(All)
2023,Victoria,RMIT University,73327,(All),(All),(All)
2020,Victoria,Swinburne University of Technology,41873,(All),(All),(All)
2021,Victoria,Swinburne University of Technology,41840,(All),(All),(All)
2022,Victoria,Swinburne University of Technology,41183,(All),(All),(All)
2023,Victoria,Swinburne University of Technology,45327,(All),(All),(All)
2020,Victoria,The University of Melbourne,69908,(All),(All),(All)
2021,Victoria,The University of Melbourne,71092,(All),(All),(All)
2022,Victoria,The University of Melbourne,70146,(All),(All),(All)
2023,Victoria,The University of Melbourne,72244,(All),(All),(All)
2020,Victoria,University of Divinity,1468,(All),(All),(All)
2021,Victoria,University of Divinity,1403,(All),(All),(All)
2022,Victoria,University of Divinity,1387,(All),(All),(All)
2023,Victoria,University of Divinity,1282,(All),(All),(All)
2020,Victoria,Victoria University,28499,(All),(All),(All)
2021,Victoria,Victoria University,28289,(All),(All),(All)
2022,Victoria,Victoria University,29776,(All),(All),(All)
2023,Victoria,Victoria University,33292,(All),(All),(All)
2020,Western Australia,Curtin University,49956,(All),(All),(All)
2021,Western Australia,Curtin University,50599,(All),(All),(All)
2022,Western Australia,Curtin University,50078,(All),(All),(All)
2023,Western Australia,Curtin University,52137,(All),(All),(All)
2020,Western Australia,Edith Cowan University,30900,(All),(All),(All)
2021,Western Australia,Edith Cowan University,29959,(All),(All),(All)
2022,Western Australia,Edith Cowan University,28423,(All),(All),(All)
2023,Western Australia,Edith Cowan University,29718,(All),(All),(All)
2020,Western Australia,Murdoch University,25409,(All),(All),(All)
2021,Western Australia,Murdoch University,23317,(All),(All),(All)
2022,Western Australia,Murdoch University,21268,(All),(All),(All)
2023,Western Australia,Murdoch University,24105,(All),(All),(All)
2020,Western Australia,Non-University Higher Education Providers,4813,(All),(All),(All)
2021,Western Australia,Non-University Higher Education Providers,4619,(All),(All),(All)
2022,Western Australia,Non-University Higher Education Providers,5397,(All),(All),(All)
2023,Western Australia,Non-University Higher Education Providers,7450,(All),(All),(All)
2020,Western Australia,The University of Notre Dame Australia,12698,(All),(All),(All)
2021,Western Australia,The University of Notre Dame Australia,12327,(All),(All),(All)
2022,Western Australia,The University of Notre Dame Australia,11804,(All),(All),(All)
2023,Western Australia,The University of Notre Dame Australia,11381,(All),(All),(All)
2020,Western Australia,The University of Western Australia,24417,(All),(All),(All)
2021,Western Australia,The University of Western Australia,26681,(All),(All),(All)
2022,Western Australia,The University of Western Australia,26363,(All),(All),(All)
2023,Western Australia,The University of Western Australia,27081,(All),(All),(All)
